57862	0.0417
57863	0.0417
57864	0.0417
57865	0.0417
57866	0.0417
57867	0.0417
57868	0.0417
57869	0.0417
57870	0.0417
57871	0.0417
57872	0.0417
57873	0.0417
57874	0.0417
57875	0.0417
57876	0.0417
57877	0.0417
57878	0.0417
57879	0.0417
57880	0.0417
57881	0.0417
57882	0.0069
57883	0.0069
57884	0.0069
57885	0.0069
57886	0.0069
57888	0.0069
57889	0.0069
57890	0.0069
57891	0.0069
57892	0.0069
57893	0.0069
57894	0.0069
57895	0.0069
57896	0.0069
57897	0.0069
57898	0.0069
57899	0.0069
57900	0.0069
57901	0.0069
57922	0.0069
57902	0.0012
57903	0.0012
57904	0.0012
57905	0.0012
57906	0.0012
57907	0.0012
57908	0.0012
57909	0.0012
57910	0.0012
57911	0.0012
57912	0.0012
57913	0.0012
57914	0.0012
57915	0.0012
57916	0.0012
57917	0.0012
57918	0.0012
57919	0.0012
57920	0.0012
57921	0.0012
57923	0.0002
57924	0.0002
57925	0.0002
57926	0.0002
57927	0.0002
57928	0.0002
57929	0.0002
57930	0.0002
57931	0.0002
57932	0.0002
57933	0.0002
57934	0.0002
57935	0.0002
57936	0.0002
57937	0.0002
57938	0.0002
57939	0.0002
57940	0.0002
57941	0.0002
57942	0.0002
