######################################### 配置文件使用说明：###############################################
#
#1. 装备获得消费值请填写在[EquipConsumption]之后
#2. 使用物品获得消费值请填写在[UseItemConsumption]之后，指在包裹里通过右键使用的物品，不是只所有消耗的物品
#3. 其他方式获得消费值请填写在[SpecialConsumption]之后，多为NPC服务消耗的物品
#
#重要说明：
#1. [EquipConsumption]，[UseItemConsumption]物品添加到本配置文件则消费值立即生效。
#2. [SpecialConsumption]中填写的id需要经过程序确认是否能生效。
#3. 消费值精度可以达到0.0001
#
#容易混淆的问题：
#1. 飞剑属于装备应该添加在[EquipConsumption]
#2. 星盘是使用绑定添加在[UseItemConsumption]
#3. 坐骑也是使用绑定，添加在[UseItemConsumption]
#
###########################################################################################################



#装备获得消费值的对照表
[EquipConsumption]
52439,5
52441,2
52443,2
52438,5
52440,2
52442,2
44149,128
14242,128
51444,59
51047,59
50825,59
44768,59
35332,59
32301,59
23428,59
6374,59
18884,59
20495,59
7806,59
4453,26
13476,59
4226,39
10630,59
11540,59
11955,59
16432,59
13999,59
42881,128
12023,128
42771,128
17077,128
51445,59
51048,59
50826,59
44769,59
41651,59
35333,59
34943,59
32928,59
32302,59
28690,59
25334,59
24340,59
18885,59
20496,59
7807,59
19325,59
6376,39
4452,26
4227,39
10631,59
11541,59
11957,59
15819,59
15821,59
6367,59
6375,39
6378,26
6377,26
14000,59
51446,15
51053,15
50827,15
44775,15
35335,15
32303,15
23429,15
6384,15
18888,15
20497,15
7810,15
4454,6
13484,15
4228,9
10632,15
11542,15
11958,15
16433,15
14001,15
51447,15
51054,15
50828,15
44777,15
41652,15
35336,15
34945,15
32929,15
32304,15
28691,15
25335,15
24341,15
18889,15
20498,15
7811,15
19326,15
6381,9
4455,6
4229,9
10633,15
11543,15
11959,15
15822,15
15823,15
6383,9
6379,6
14002,15
51448,15
51059,15
50829,15
44778,15
35338,15
32305,15
23430,15
6389,15
18886,15
20499,15
7815,15
4457,6
13485,15
4230,9
10634,15
11544,15
11960,15
16434,15
14004,15
51449,15
51060,15
50830,15
44779,15
41653,15
35339,15
34947,15
32930,15
32306,15
28692,15
25336,15
24342,15
18887,15
20500,15
7816,15
19327,15
6387,9
4456,6
4231,9
10635,15
11545,15
11961,15
15824,15
6390,15
6388,9
6386,6
14003,15
6227,9
6235,9
6228,16
6236,16
6230,28
6237,28
6229,9
42707,3
33705,3
25735,3
7226,3
7819,3
12004,3
19315,3
19316,3
23187,3
23332,3



#使用物品获得消费值的对照表
[UseItemConsumption]
49526,10
49527,29
49600,28
25312,7
22070,1
21276,99
21277,10
20508,25
4002,20
4001,10
4000,5
20511,0.001
43277,0.0015
20509,25
4005,20
4004,10
4003,5
20512,0.001
44469,0.0015
42127,5
13911,1
13912,2
1807,0.5
23121,0.33
25313,28
16298,8
35439,3
8079,0.5
2304,1
28605,1
28607,1
28606,1
32081,0.33
3988,0.33
3989,0.33
3990,0.33
3991,0.33
3992,0.33
6430,0.33
11300,0.33
11301,0.33
11302,0.33
11303,0.33
32597,1
32689,2
32169,88
7826,88
7825,88
6359,58
6360,58
21212,39
22140,39
23143,39
23362,39
25159,39
28556,39
34128,39
34127,39
35397,39
18750,2



#特殊物品、特殊操作获得消费值(NPC服务消耗物品等)
[SpecialConsumption]
#----炼器----
3994,1
21199,5
3993,1
#----元婴系统----
52352,0.5
52257,1
52258,3
52259,5
#----仙工----
40272,2
18911,10
18910,1
11681,3
11171,10
11767,5
4679,1
19524,2
6350,1
11678,15
11679,15
17832,15
11677,15
11676,15
31623,15
31624,15
39926,15
39925,15
49380,15
49381,15
#----洗点----
4233,88
10988,29
4232,20
40600,88
40603,88
40598,88
40602,88
40599,88
40601,88
#----仓库老板----
4011,6
4012,10
13903,6
13904,10
#----宠物修炼----
22994,39
22995,39
22996,39
23001,39
23006,39
23338,39
16302,2
#----宠物扩包----
18414,3
#----小环兑换----
13343,1
#----装备升级----
40655,300
44486,100
#----角色交易----
51416,10
#----开许愿箱----
13347,1
#----复活----
4007,1
#----世界喊话----
4015,0.2
#----天界宝库----
41511,0.01
#----唯一最低价拍卖----
35367,0.33
#----易容----
24902,3
#----天下会武选阵营----
12045,2
#----星盘充能----
35444,3
#----插槽重铸----
44496,3
43570,25
#----修理破损物品----
21696,10
#----物品解锁----
21118,1
#----坐骑驯化----
17888,10
#----结婚礼包----
7931,168
7937,168
#----真言----
52444,5
#----任务飞天----
8079,0.5
