; 以;开始是注释行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; 第一个字段是成就id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; 2-7字段是前置成就id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; 后面是10个前提的定义，每个前提4个字段，分别是前提的模板id， 第一个参数，第二个参数，第三个参数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; 倒数第四个字段是成就点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; 倒数第三个字段是成就的频道，1表示普通频道，2表示全服喊话, 0表示不广播,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; 最后两个字段是奖励的金钱数目和物品ID
; 成就模板id定义,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;    id,,含义,,参数一,,参数二,,参数三,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;    1,,人物等级条件， ,,飞升次数(0表示未飞升),,级别,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;    2,,钱数达到,,钱的数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;    3,,声望达到,,声望id,,声望值,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;    4,,杀怪,,怪物id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;    5,,pk值达到,,pk值,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;    6,,完成任务,,任务id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;    7,,精炼,,装备级别,,精炼结果,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;    8,,宠物修炼,,宠物星级,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;    9,,法宝血炼,血炼值,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;    10,,生产,,配方id,,物品ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;    11,,装备,,装备id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;    12,,完成成就,,成就id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; 1000,,完成任务次数,,任务id,,次数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; 1001,,杀怪次数,,怪物id,,次数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; 1002,,生产配方次数,,配方id,,第几个物品,,次数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; 1003,,参加战场次数,,战场id,,次数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; 1004,,死亡次数,,次数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; 1005,,炼器,,炼器级别,,炼器结果,,次数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;成就ID,,前提成就1,前提成就2,前提成就3,前提成就4,前提成就5,前提成就6,,条件1类型,条件1参数1,条件1参数2,条件1参数3,,条件2类型,条件2参数1,条件2参数2,条件2参数3,,条件3类型,条件3参数1,条件3参数2,条件3参数3,,条件4类型,条件4参数1,条件4参数2,条件4参数3,,条件5类型,条件5参数1,条件5参数2,条件5参数3,,条件6类型,条件6参数1,条件6参数2,条件6参数3,,条件7类型,条件7参数1,条件7参数2,条件7参数3,,条件8类型,条件8参数1,条件8参数2,条件8参数3,,条件9类型,条件9参数1,条件9参数2,条件9参数3,,条件10类型,条件10参数1,条件10参数2,条件10参数3,,成就点,,广播类型,,奖励金钱,,奖励物品ID
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0,0,0,0,0,,1,0,10,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,5,,1,,0,,0,,0
2,,0,0,0,0,0,0,,1,0,20,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,5,,1,,0,,0,,0
3,,0,0,0,0,0,0,,1,0,30,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,5,,1,,0,,0,,0
4,,0,0,0,0,0,0,,1,0,40,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,5,,1,,0,,0,,0
5,,0,0,0,0,0,0,,1,0,50,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,5,,1,,0,,0,,0
6,,0,0,0,0,0,0,,1,0,60,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,5,,1,,0,,0,,0
7,,0,0,0,0,0,0,,1,0,70,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,5,,1,,0,,0,,0
8,,0,0,0,0,0,0,,1,0,80,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,5,,1,,0,,0,,0
9,,0,0,0,0,0,0,,1,0,90,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,5,,1,,0,,0,,0
10,,0,0,0,0,0,0,,1,0,100,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,5,,1,,0,,0,,0
11,,0,0,0,0,0,0,,1,0,110,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,5,,1,,0,,0,,0
12,,0,0,0,0,0,0,,1,0,120,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,5,,1,,0,,0,,0
13,,0,0,0,0,0,0,,1,0,130,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,10,,1,,0,,0,,0
14,,0,0,0,0,0,0,,1,0,140,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,30,,1,,0,,0,,0
15,,0,0,0,0,0,0,,1,0,150,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,50,,2,,0,,0,,1
16,,0,0,0,0,0,0,,1,1,120,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,10,,1,,0,,0,,0
17,,0,0,0,0,0,0,,1,1,135,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,30,,1,,0,,0,,0
18,,0,0,0,0,0,0,,1,1,150,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,100,,2,,0,,0,,1
19,,0,0,0,0,0,0,,2,2000000000,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,30,,1,,0,,0,,0
20,,0,0,0,0,0,0,,3,11,500000,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,50,,1,,0,,0,,0
